"Source:","D:\engineering\1-Projekte\Welder\Spotwelderix\PCB\Spotwelderix-controlboard\Spotwelderix-controlboard.sch"
"Date:","20/09/2021 11:19:14"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","45"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BZ1, ","1","Buzzer","Buzzer-Device","Buzzer_Beeper:Buzzer_15x7.5RM7.6","",""
"C1, C3, C4, ","3","100p","C-Device","Capacitor_SMD:C_0805_2012Metric","",""
"C2, ","1","10n","C-Device","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","",""
"C6, ","1","470p","C-Device","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","",""
"C7, ","1","100p","C-Device","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","",""
"C8, ","1","470µ","CP-Device","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","",""
"C9, ","1","10µ","C-Device","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","",""
"D1, D2, ","2","D","D","Diode_SMD:D_SMA_Handsoldering","",""
"ENC1, ","1","EC12D1524403 ","ALPS-STEC12E08","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm","",""
"H1, H2, H3, H4, ","4","MountingHole","MountingHole-Mechanical","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","",""
"J1, ","1","LEDs","Conn_01x03_Male-Connector","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","",""
"J2, ","1","ChargerPower","Conn_01x05_Male-Connector","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","",""
"J3, ","1","ExtPwr_FAn","CONN_01X04","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","",""
"J4, ","1","Testpin","Conn_01x09_Female","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"P1, ","1","Display","CONN_01X08","Connector_JST:JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical","",""
"P2, ","1","CONN_01X08","Conn_01x09_Male-Connector","Connector_JST:JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical","",""
"Q1, Q2, Q3, ","3","AO3400A","AO3400A-Transistor_FET","Package_TO_SOT_SMD:SOT-23","",""
"R1, R3, R7, R8, R9, R13, R15, ","7","2.5k","R","Resistor_SMD:R_0805_2012Metric","",""
"R2, R4, R5, R6, ","4","100","R","Resistor_SMD:R_0805_2012Metric","",""
"R10, ","1","47k","R","Resistor_SMD:R_0805_2012Metric","",""
"R12, R14, ","2","15k","R","Resistor_SMD:R_0805_2012Metric","",""
"R16, R17, R18, R19, ","4","10k","R","Resistor_SMD:R_0805_2012Metric","",""
"U1, ","1","NodeMCU32","NodeMCU32-my_parts","my_parts:ESP32_NODEMCU","",""
"U2, ","1","LM7805M_TO263","LM7805_TO220-Regulator_Linear","Package_TO_SOT_SMD:TO-252-2","",""
