Reference, Value, Footprint, Datasheet
"C9","10µ","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
"C8","470µ","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"U2","LM7805M_TO263","Package_TO_SOT_SMD:TO-252-2","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"R13","2.5k","Resistor_SMD:R_0805_2012Metric",""
"ENC1","EC12D1524403 ","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm","https://www.mouser.de/ProductDetail/Alps-Alpine/EC12D1524403/?qs=%2Fha2pyFadujS61L3lQIIqGKdqySEQUGy9PSQHwezRaem1G6obKDSmg%3D%3D"
"J3","ExtPwr_FAn","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"R5","100","Resistor_SMD:R_0805_2012Metric",""
"C3","100p","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
"R6","100","Resistor_SMD:R_0805_2012Metric",""
"C4","100p","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
"R4","100","Resistor_SMD:R_0805_2012Metric",""
"C1","100p","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
"P1","Display","Connector_JST:JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical",""
"BZ1","Buzzer","Buzzer_Beeper:Buzzer_15x7.5RM7.6","~"
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~"
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~"
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~"
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~"
"C2","10n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
"J1","LEDs","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"D1","D","Diode_SMD:D_SMA_Handsoldering",""
"U1","NodeMCU32","my_parts:ESP32_NODEMCU",""
"P2","CONN_01X08","Connector_JST:JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical",""
"D2","D","Diode_SMD:D_SMA_Handsoldering",""
"R17","10k","Resistor_SMD:R_0805_2012Metric",""
"C7","100p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
"J2","ChargerPower","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~"
"Q1","AO3400A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R15","2.5k","Resistor_SMD:R_0805_2012Metric",""
"R14","15k","Resistor_SMD:R_0805_2012Metric",""
"Q3","AO3400A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R19","10k","Resistor_SMD:R_0805_2012Metric",""
"C6","470p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
"J4","Testpin","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~"
"R2","100","Resistor_SMD:R_0805_2012Metric",""
"R16","10k","Resistor_SMD:R_0805_2012Metric",""
"Q2","AO3400A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R18","10k","Resistor_SMD:R_0805_2012Metric",""
"R1","2.5k","Resistor_SMD:R_0805_2012Metric",""
"R9","2.5k","Resistor_SMD:R_0805_2012Metric",""
"R8","2.5k","Resistor_SMD:R_0805_2012Metric",""
"R7","2.5k","Resistor_SMD:R_0805_2012Metric",""
"R3","2.5k","Resistor_SMD:R_0805_2012Metric",""
"R12","15k","Resistor_SMD:R_0805_2012Metric",""
"R10","47k","Resistor_SMD:R_0805_2012Metric",""
