Reference, Quantity, Value, Footprint, Datasheet
BZ1 ,1,"Buzzer","Buzzer_Beeper:Buzzer_15x7.5RM7.6","~"
C2 ,1,"10n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
C1 C3 C4 ,3,"100p","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
C6 ,1,"470p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
C7 ,1,"100p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
C8 ,1,"470µ","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
C9 ,1,"10µ","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D"
D1 D2 ,2,"D","Diode_SMD:D_SMA_Handsoldering",""
ENC1 ,1,"EC12D1524403 ","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm","https://www.mouser.de/ProductDetail/Alps-Alpine/EC12D1524403/?qs=%2Fha2pyFadujS61L3lQIIqGKdqySEQUGy9PSQHwezRaem1G6obKDSmg%3D%3D"
H1 H2 H3 H4 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~"
J1 ,1,"LEDs","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J2 ,1,"ChargerPower","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~"
J3 ,1,"ExtPwr_FAn","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J4 ,1,"Testpin","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~"
P1 ,1,"Display","Connector_JST:JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical",""
P2 ,1,"CONN_01X08","Connector_JST:JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical",""
Q1 Q2 Q3 ,3,"AO3400A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
R10 ,1,"47k","Resistor_SMD:R_0805_2012Metric",""
R1 R3 R7 R8 R9 R13 R15 ,7,"2.5k","Resistor_SMD:R_0805_2012Metric",""
R12 R14 ,2,"15k","Resistor_SMD:R_0805_2012Metric",""
R16 R17 R18 R19 ,4,"10k","Resistor_SMD:R_0805_2012Metric",""
R2 R4 R5 R6 ,4,"100","Resistor_SMD:R_0805_2012Metric",""
U1 ,1,"NodeMCU32","my_parts:ESP32_NODEMCU",""
U2 ,1,"LM7805M_TO263","Package_TO_SOT_SMD:TO-252-2","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
