"Source:","D:\engineering\1-Projekte\Welder\Spotwelderix\PCB\Spotwelderix-controlboard\Spotwelderix-controlboard.sch"
"Date:","28/07/2021 10:19:31"
"Tool:","Eeschema (5.1.9)-1"
"Component Count:","35"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BZ1","Buzzer","Buzzer_Beeper:Buzzer_15x7.5RM7.6","~","",""
"C1","100p","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D","",""
"C2","100p","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D","",""
"C3","100p","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D","",""
"C4","470µ","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","",""
"C5","10µ","Capacitor_SMD:C_1206_3216Metric","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D","",""
"C6","10n","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D","",""
"C7","100p","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL31A106KBHNNNE/?qs=sGAEpiMZZMuMW9TJLBQkXpvci%252BYHLlg21rnqFxf28Ww%3D","",""
"D2","D","Diode_SMD:D_SMA","","",""
"D3","D","Diode_SMD:D_SMA","","",""
"ENC1","EC12D1524403 ","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm","https://www.mouser.de/ProductDetail/Alps-Alpine/EC12D1524403/?qs=%2Fha2pyFadujS61L3lQIIqGKdqySEQUGy9PSQHwezRaem1G6obKDSmg%3D%3D","",""
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~","",""
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~","",""
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~","",""
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~","",""
"J1","ChargerPower","Connector_JST:JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal","~","",""
"J2","LEDs","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~","",""
"J3","ExtPwr_FAn","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~","",""
"P1","Display","Connector_JST:JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal","","",""
"P2","CONN_01X08","Connector_JST:JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical","","",""
"Q1","AO3400A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf","",""
"Q2","AO3400A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf","",""
"Q5","AO3400A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf","",""
"R1","100","Resistor_SMD:R_0805_2012Metric","","",""
"R2","100","Resistor_SMD:R_0805_2012Metric","","",""
"R3","100","Resistor_SMD:R_0805_2012Metric","","",""
"R6","33k","Resistor_SMD:R_0805_2012Metric","","",""
"R7","10k","Resistor_SMD:R_0805_2012Metric","","",""
"R8","33k","Resistor_SMD:R_0805_2012Metric","","",""
"R9","10k","Resistor_SMD:R_0805_2012Metric","","",""
"R11","33k","Resistor_SMD:R_0805_2012Metric","","",""
"R12","10k","Resistor_SMD:R_0805_2012Metric","","",""
"R14","100","Resistor_SMD:R_0805_2012Metric","","",""
"U1","NodeMCU32","my_parts:ESP32_NODEMCU","","",""
"U3","LM7805M_TO263","Package_TO_SOT_SMD:TO-263-3_TabPin2","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","",""
