"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"F4,F1";"Blade_Fuse_maxi_handsolder_1.5drill";2;"50A";;;
2;"R11,R13";"R_0805_2012Metric";2;"55k";;;
3;"IC2,IC1";"SOIC127P600X175-8N";2;"IXDD604SIA";;;
4;"P1";"JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical";1;"CONN_01X09";;;
5;"C19,C16,C10,C8,C6,C2,C12,C13,C1,C3,C4,C5,C7,C9";"C_1206_3216Metric";14;"10µ";;;
6;"Q12,Q11";"SOT-23_Handsoldering";2;"DMG3402_SOT23_n_Fet_3A";;;
7;"U3,U2";"MSOP-8_3x3mm_P0.65mm";2;"AD8209";;;
8;"R10,R8,R4";"R_0805_2012Metric";3;"100";;;
9;"R7";"R_0805_2012Metric";1;"133k";;;
10;"C15,C18,C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"470p";;;
11;"H6,H5,H3";"MountingHole_4.3mm_M4_Pad_Via";3;"MountingHole_Pad";;;
12;"J1";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"OnOffTast";;;
13;"R15";"R_0805_2012Metric";1;"47k";;;
14;"J3,J6";"AMASS_XT60-M_1x02_P7.20mm_Vertical";2;"XT90";;;
15;"Q10";"TO-220-3_Horizontal_TabDown";1;"FQP27P06";;;
16;"Q8,Q7,Q6,Q5,Q4,Q3,Q2,Q1";"TO-263-2";8;"IRFB7430";;;
17;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10n";;;
18;"J2";"MountingHole_5.3mm_M5_Pad_Via";1;"probe+";;;
19;"R9";"R_0805_2012Metric";1;"2.5k";;;
20;"R1";"R_0805_2012Metric";1;"15k";;;
21;"D2";"D_SMA_Handsoldering";1;"D";;;
22;"R2,R3";"R_0805_2012Metric";2;"10k";;;
23;"Q9";"SOT-23";1;"BC817";;;
24;"R6,R5";"R_0805_2012Metric";2;"22k";;;
25;"C14";"CP_Radial_D10.0mm_P5.00mm";1;"470µ";;;
26;"D1,D3";"TO-263-2_TabPin1";2;"RF2001NS2D";;;
27;"J4";"MountingHole_5.3mm_M5_Pad_Via";1;"probe-";;;
28;"U1";"TO-92_Inline_Horizontal1";1;"DS18B20";;;
